time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/entropy_loss
9,225,13,16,0.04001499,2.924819231033325,-0.0777244181856517,0.2,580,0.24717986583709717,0.21599999144673349,6.764980602264404,0.0003,-9.366566371917724
10,250,15,16,0.01556561,34.825439453125,-0.03529039131244645,0.2,590,-0.09321951866149902,0.07599999830126762,72.88983306884765,0.0003,-9.268138408660889
1,25,0,25,0.0068822503,5.858377933502197,-0.02663940568915866,0.2,600,-0.0970531702041626,0.015999999642372132,13.389231204986572,0.0003,-9.155534648895264
2,50,2,22,0.04450325,1.4905794858932495,-0.07457157390937255,0.2,610,0.1754511594772339,0.22799999192357062,3.731393241882324,0.0003,-9.213110828399659
3,75,3,21,0.011968891,5.073570251464844,-0.015311938396189361,0.2,620,0.036417365074157715,0.06399999782443047,11.233234405517578,0.0003,-9.155674457550049
4,100,4,20,0.015844226,2.6916663646698,-0.049185532595961944,0.2,630,-0.7686543464660645,0.06399999782443047,6.408565855026245,0.0003,-9.069242095947265
5,125,6,20,0.018251417,8.275737762451172,-0.04388114090915849,0.2,640,-0.029415369033813477,0.09999999701976776,18.05583267211914,0.0003,-8.99059772491455
6,150,7,18,0.023260595,5.99572229385376,-0.05631413253303634,0.2,650,-0.05205190181732178,0.1039999969303608,13.492061138153076,0.0003,-8.97742052078247
7,175,9,18,0.030158743,12.116613388061523,-0.06693594498559889,0.2,660,0.11916953325271606,0.18399999812245368,26.360556411743165,0.0003,-8.812557315826416
8,200,11,17,0.027848803,15.256568908691406,-0.04886929389275636,0.2,670,0.03707176446914673,0.1839999958872795,32.55311622619629,0.0003,-8.780851078033447
9,225,13,17,0.015766092,11.374920845031738,-0.04566136093810371,0.2,680,-0.03731417655944824,0.06399999856948853,24.699081420898438,0.0003,-8.986919116973876
10,250,15,16,0.03323042,5.687371730804443,-0.054746118769049626,0.2,690,0.09120643138885498,0.19599999561905862,12.592449760437011,0.0003,-8.63237419128418
1,25,1,23,0.0257867,4.321383953094482,-0.05805179901979827,0.2,700,0.014269113540649414,0.12799999564886094,9.801560115814208,0.0003,-8.644873332977294
2,50,2,21,0.013703892,10.14217758178711,-0.026194026677287142,0.2,710,-0.11253249645233154,0.06399999782443047,22.012887382507323,0.0003,-8.631378746032714
3,75,3,19,0.068380475,2.4346673488616943,-0.0908184905052181,0.2,720,-0.1412363052368164,0.2919999949634075,5.419203805923462,0.0003,-8.629447078704834
4,100,5,18,0.029319176,12.897831916809082,-0.04141470048576679,0.2,730,-0.03788721561431885,0.16799999475479127,27.488883590698244,0.0003,-8.509553146362304
5,125,6,18,0.012561445,36.21707534790039,-0.04177471263520403,0.2,740,0.0332874059677124,0.043999999016523364,75.21663131713868,0.0003,-8.484835052490235
6,150,8,17,0.05657069,0.6719672679901123,-0.08536195291951305,0.2,750,-0.16617226600646973,0.28399999514222146,1.9335087537765503,0.0003,-8.322857475280761
7,175,9,17,0.07655574,2.002152919769287,-0.07939122756943107,0.2,760,-0.031153321266174316,0.33999999463558195,4.649067687988281,0.0003,-8.584321022033691
8,200,11,17,0.015155334,15.31004524230957,-0.03199599826894719,0.2,770,-0.03201913833618164,0.07599999830126762,32.641747665405276,0.0003,-8.638940811157227
9,225,13,16,0.17113708,0.3902727961540222,-0.10870750816166393,0.2,780,0.009862840175628662,0.48399999365210533,1.1685569763183594,0.0003,-8.306392097473145
10,250,15,16,0.011727665,7.363820552825928,-0.024699000161606754,0.2,790,-0.08677399158477783,0.03599999919533729,15.420283317565918,0.0003,-8.371650409698486
1,25,1,23,0.005433068,12.888336181640625,-0.011460454861051517,0.2,800,0.038388073444366455,0.02799999937415123,27.351464462280273,0.0003,-8.376028251647949
2,50,2,21,0.019385379,1.8499189615249634,-0.0542186414469036,0.2,810,-0.22129297256469727,0.09599999710917473,4.392240452766418,0.0003,-8.766385078430176
3,75,3,20,0.10002857,1.1037806272506714,-0.06966498910263183,0.2,820,0.020352602005004883,0.35999998822808266,2.739025187492371,0.0003,-8.41084098815918
4,100,4,20,0.02210125,14.235455513000488,-0.03870039272680881,0.2,830,0.012893497943878174,0.11599999517202378,30.098880577087403,0.0003,-8.263787364959716
5,125,6,19,0.029658705,4.161383628845215,-0.05788744418323048,0.2,840,-0.035697340965270996,0.1119999960064888,9.389982986450196,0.0003,-8.393327903747558
6,150,7,18,0.01701527,7.684263706207275,-0.04261575458850686,0.2,850,0.007056057453155518,0.08399999812245369,16.646372509002685,0.0003,-8.37643461227417
7,175,9,18,0.06769951,2.3869636058807373,-0.07849404767900695,0.2,860,0.007680714130401611,0.3119999900460243,5.482571458816528,0.0003,-8.391857528686524
8,200,11,17,0.0149159115,21.482036590576172,-0.02945820638211529,0.2,870,-0.03139626979827881,0.07599999830126762,44.84555511474609,0.0003,-8.66087760925293
9,225,13,16,0.057911966,0.44959890842437744,-0.07013361265882878,0.2,880,0.05806249380111694,0.28399999141693116,1.1181509613990783,0.0003,-8.225465679168702
10,250,15,15,0.054765005,0.3092745840549469,-0.07092758940532846,0.2,890,-0.03199470043182373,0.24799999669194223,0.9180259525775909,0.0003,-8.167137241363525
1,25,1,23,0.040383734,3.2569684982299805,-0.047338306552731524,0.2,900,-0.04961729049682617,0.15599999502301215,7.119874095916748,0.0003,-7.955670881271362
2,50,2,20,0.033054564,1.8321033716201782,-0.05809402446448821,0.2,910,-0.0074999332427978516,0.17199999690055848,4.244796657562256,0.0003,-7.957965135574341
3,75,3,19,0.023589272,2.1856820583343506,-0.05189815950114394,0.2,920,-0.023786425590515137,0.09999999776482582,5.118085527420044,0.0003,-7.6655253887176515
4,100,5,18,0.109923586,0.6524415016174316,-0.09106359429657403,0.2,930,0.09075969457626343,0.4399999834597111,1.5993273615837098,0.0003,-7.625265979766846
5,125,6,17,0.024182823,4.051830291748047,-0.02547475821152325,0.2,940,0.03132838010787964,0.1519999973475933,8.847586727142334,0.0003,-7.682877016067505
6,150,8,17,0.05690454,0.7715263366699219,-0.08196868899464604,0.2,950,-0.06315231323242188,0.27599999159574506,2.084554147720337,0.0003,-8.008799839019776
7,175,10,16,0.04503886,3.6587162017822266,-0.07144911658950193,0.2,960,-0.0043288469314575195,0.2559999890625477,7.600612831115723,0.0003,-7.809872961044311
8,200,12,16,0.041707046,1.291810393333435,-0.06454520960897199,0.2,970,-0.15918946266174316,0.28399999588727953,2.924369049072266,0.0003,-7.221261978149414
9,225,14,15,0.017072773,2.4105100631713867,-0.03914807840436696,0.2,980,0.010869920253753662,0.09599999785423279,5.276024532318115,0.0003,-7.34648494720459
10,250,15,15,0.02198906,4.838151931762695,-0.03528407254815136,0.2,990,-0.017288684844970703,0.14799999594688415,10.508381938934326,0.0003,-6.871845245361328
1,25,0,26,0.0144612,5.113063812255859,-0.036166333019733446,0.2,1000,0.014986515045166016,0.06399999782443047,11.20826015472412,0.0003,-7.762323522567749
2,50,2,23,0.010819354,5.283681392669678,-0.035589921786450415,0.2,1010,-0.0051500797271728516,0.043999999016523364,11.468130397796632,0.0003,-7.268665981292725
3,75,3,21,0.060744807,1.4413836002349854,-0.08539108762145062,0.2,1020,-0.003993988037109375,0.259999991953373,3.4472686052322388,0.0003,-7.185147953033447
4,100,4,20,0.032601267,6.041203498840332,-0.05548882526159282,0.2,1030,-0.013452410697937012,0.19999999478459357,13.114734649658203,0.0003,-6.28962197303772
5,125,6,19,0.00471317,10.117761611938477,-0.02021479578502472,0.2,1040,0.019100487232208252,0.007999999821186066,21.433982849121094,0.0003,-6.152442073822021
6,150,7,18,0.01624273,8.679535865783691,-0.05520813517644996,0.2,1050,-0.03571641445159912,0.06799999922513962,18.675423049926756,0.0003,-7.333115530014038
7,175,9,18,0.059924416,0.866961658000946,-0.07564528035372504,0.2,1060,-0.10018837451934814,0.2679999940097332,1.9907228231430054,0.0003,-6.756565237045288
8,200,11,17,0.01692576,3.4725241661071777,-0.05143321172613646,0.2,1070,-0.0013300180435180664,0.07599999681115151,7.4867908477783205,0.0003,-7.163584470748901
9,225,12,17,0.023937255,3.0619194507598877,-0.05410723787173666,0.2,1080,0.007581889629364014,0.107999999076128,6.395303249359131,0.0003,-7.085960149765015
10,250,14,17,0.09314603,0.04478810727596283,-0.09661069753766043,0.2,1090,-0.0009093284606933594,0.4319999858736992,0.3812433421611786,0.0003,-7.144389629364014
1,25,0,26,0.090064,1.3937770128250122,-0.07625758760422485,0.2,1100,0.018796682357788086,0.3799999862909317,3.1266313791275024,0.0003,-6.407760286331177
2,50,2,24,0.048965834,0.4587057828903198,-0.06139328194037006,0.2,1110,0.053893327713012695,0.27999998778104784,1.305656909942627,0.0003,-7.2807868957519535
3,75,3,21,0.064988814,-0.028867371380329132,-0.08515184317156681,0.2,1120,-0.0006493330001831055,0.33199999257922175,0.22416118532419205,0.0003,-7.238529348373413
4,100,4,20,0.03406074,0.8254119753837585,-0.05629250764846887,0.2,1130,0.0545576810836792,0.1679999940097332,2.040391433238983,0.0003,-6.2106160640716555
5,125,6,19,0.05249322,0.08315382152795792,-0.061048620082436854,0.2,1140,-0.2842864990234375,0.16799999698996543,0.4373439699411392,0.0003,-6.059650993347168
6,150,7,19,0.021413948,4.509946823120117,-0.02441860820120212,0.2,1150,0.006806075572967529,0.13199999928474426,9.472496795654298,0.0003,-6.587392854690552
7,175,9,18,0.0885908,-0.04841767996549606,-0.08786253070831336,0.2,1160,0.043486714363098145,0.38399998992681506,0.22022225260734557,0.0003,-6.590526819229126
8,200,10,18,0.023339726,3.341752529144287,-0.008116092887124893,0.2,1170,0.002594590187072754,0.1279999978840351,6.8140709400177,0.0003,-6.797793626785278
9,225,12,17,0.018033069,1.174595832824707,-0.034609857381787276,0.2,1180,-0.012103080749511719,0.09199999943375588,2.7376505851745607,0.0003,-7.165582704544067
10,250,14,17,0.0033663486,8.970804214477539,-0.01309453577781099,0.2,1190,-0.012758255004882812,0.007999999821186066,18.08294086456299,0.0003,-6.068258571624756
1,25,0,25,0.009364431,2.0798871517181396,-0.02815194945863908,0.2,1200,-0.009311676025390625,0.02799999937415123,4.623262977600097,0.0003,-6.119408416748047
2,50,2,22,0.032369915,0.6438802480697632,-0.058203763684257837,0.2,1210,0.030254364013671875,0.14799999594688415,1.5082017302513122,0.0003,-6.591616249084472
3,75,3,20,0.018955199,1.433219075202942,-0.04138283003075003,0.2,1220,0.04550886154174805,0.08399999737739564,3.244754934310913,0.0003,-6.308750438690185
4,100,5,19,0.039919127,1.7579081058502197,-0.057435417316854045,0.2,1230,-0.06408452987670898,0.20799999684095383,3.7339489459991455,0.0003,-6.438627481460571
5,125,6,18,0.045898046,0.018722787499427795,-0.06375667242705844,0.2,1240,-0.013312220573425293,0.20399999544024466,0.2604188576340675,0.0003,-6.116670799255371
6,150,8,18,0.050500955,0.08049691468477249,-0.06173970002867293,0.2,1250,0.01482248306274414,0.2399999938905239,0.47051735818386076,0.0003,-6.086032104492188
7,175,9,17,0.061369292,0.06799564510583878,-0.07801677335053654,0.2,1260,0.1657165288925171,0.33999998942017556,0.47862809896469116,0.0003,-6.1124341011047365
8,200,11,17,0.03299497,1.1791343688964844,-0.039633279971778276,0.2,1270,0.005105733871459961,0.21199999526143073,2.8394325733184815,0.0003,-6.369268846511841
9,225,13,16,0.071697645,0.03172265738248825,-0.07662310600653299,0.2,1280,-0.41284632682800293,0.3279999941587448,0.39192046225070953,0.0003,-6.318769550323486
10,250,15,16,0.034842495,2.365943193435669,-0.07057172526046643,0.2,1290,-0.0780256986618042,0.17199999690055848,5.352241659164429,0.0003,-6.512756729125977
1,25,0,25,0.04219825,0.45312440395355225,-0.06334071113914205,0.2,1300,0.11269527673721313,0.20399999618530273,1.1260875701904296,0.0003,-6.785725259780884
2,50,2,22,0.032933254,0.7523313164710999,-0.06120183064602429,0.2,1310,0.022240877151489258,0.16799999698996543,1.8748213648796082,0.0003,-6.580825233459473
3,75,3,20,0.017644968,0.694502055644989,-0.04333606349583761,0.2,1320,-0.004653811454772949,0.07199999913573266,1.8062050938606262,0.0003,-6.420389032363891
4,100,5,19,0.046230726,0.40583664178848267,-0.07009849537164144,0.2,1330,-0.040976524353027344,0.1839999958872795,1.2694093465805054,0.0003,-6.831583023071289
5,125,6,19,0.01288409,4.530058860778809,-0.009609000233002263,0.2,1340,0.04498487710952759,0.08799999803304673,9.771458530426026,0.0003,-6.710701942443848
6,150,8,18,0.049481686,0.5189164280891418,-0.07528953059017666,0.2,1350,0.09012550115585327,0.24799998924136163,1.3527981042861938,0.0003,-6.446756029129029
7,175,9,18,0.048707027,0.21845842897891998,-0.06376210721395914,0.2,1360,-0.04717206954956055,0.24799999892711638,0.8145381927490234,0.0003,-6.504819869995117
8,200,11,17,0.038567476,1.5101821422576904,-0.07124499224126382,0.2,1370,-0.022020936012268066,0.23199999332427979,3.6013099908828736,0.0003,-6.840416097640992
9,225,12,17,0.057532463,0.24423503875732422,-0.0715505440048874,0.2,1380,0.027366161346435547,0.31599998772144317,0.7359907269477844,0.0003,-6.612144708633423
10,250,14,17,0.08838773,0.3661119341850281,-0.08710175732523169,0.2,1390,0.03383904695510864,0.29199999049305914,0.9992706418037415,0.0003,-6.844509696960449
1,25,1,23,0.014732821,2.5645089149475098,-0.015610108734573913,0.2,1400,-0.18847250938415527,0.10399999618530273,5.521435213088989,0.0003,-6.291703128814698
2,50,2,22,0.07602819,-0.007233582437038422,-0.08312819256633545,0.2,1410,-0.28697407245635986,0.33199999704957006,0.2700947836041451,0.0003,-6.150831317901611
3,75,3,21,0.056645498,1.7174855470657349,-0.06698743150755763,0.2,1420,0.014323055744171143,0.25199998915195465,3.6877807140350343,0.0003,-6.027108383178711
4,100,4,20,0.050488133,0.19473868608474731,-0.07241415173932922,0.2,1430,0.014114141464233398,0.3119999937713146,0.6912556886672974,0.0003,-5.800494623184204
5,125,6,20,0.010259259,0.6474839448928833,-0.0187973979080553,0.2,1440,0.174541175365448,0.043999999016523364,1.4977892279624938,0.0003,-6.253674507141113
6,150,7,20,0.008344349,3.8913214206695557,-0.030565387040376635,0.2,1450,0.04101073741912842,0.031999999284744264,8.303886413574219,0.0003,-6.0289381980896
7,175,9,19,0.02243697,0.5399799942970276,-0.04893906385451556,0.2,1460,0.006877779960632324,0.11199999675154686,1.2903907299041748,0.0003,-5.906197547912598
8,200,10,18,0.043098982,0.7227191925048828,-0.06867633367702339,0.2,1470,-0.03791821002960205,0.19199999645352364,1.6844377875328065,0.0003,-5.689399766921997
9,225,12,18,0.03518345,0.39239582419395447,-0.05277138436585673,0.2,1480,-0.8698307275772095,0.13599999696016313,1.1029650151729584,0.0003,-6.6801141738891605
10,250,14,17,0.037066344,0.10517632961273193,-0.06127679945528506,0.2,1490,-0.57794189453125,0.2119999997317791,0.5047432392835617,0.0003,-5.75108380317688
1,25,1,21,0.11573751,0.0638853907585144,-0.10022931674122759,0.2,1500,-0.1690049171447754,0.4119999870657921,0.45248483717441557,0.0003,-6.162798452377319
2,50,2,18,0.071515635,0.3738139271736145,-0.06327515652775802,0.2,1510,-0.020638346672058105,0.33999998942017556,0.9832158386707306,0.0003,-6.358716583251953
3,75,4,18,0.012982008,2.5919840335845947,-0.022193803571164673,0.2,1520,0.09613192081451416,0.059999997913837436,5.325927352905273,0.0003,-5.885547685623169
4,100,5,17,0.013033459,0.7563655376434326,-0.039472311001271264,0.2,1530,0.003369629383087158,0.047999998182058336,1.863210129737854,0.0003,-5.674009084701538
5,125,7,17,0.019433279,0.09361052513122559,-0.03625368285877641,0.2,1540,0.018703699111938477,0.05599999874830246,0.4084033012390137,0.0003,-5.847921848297119
6,150,8,17,0.065002315,-0.02781575173139572,-0.06630967373773462,0.2,1550,0.025619566440582275,0.3999999865889549,0.14957209527492524,0.0003,-5.239199495315551
7,175,9,17,0.022214377,4.36736536026001,-0.003986326957121556,0.2,1560,0.010549485683441162,0.14799999669194222,9.04169225692749,0.0003,-5.066903686523437
8,200,11,17,0.027719965,0.08258683234453201,-0.05761536393873392,0.2,1570,-0.005205035209655762,0.14399999752640724,0.48631647527217864,0.0003,-5.306767797470092
9,225,13,16,0.009388494,2.23836612701416,-0.025316769728436838,0.2,1580,0.03930932283401489,0.043999999016523364,4.939895343780518,0.0003,-5.990594291687012
10,250,15,15,0.040322397,0.9268038868904114,-0.0625648376438761,0.2,1590,-0.002724885940551758,0.1759999983012676,2.1168883800506593,0.0003,-5.5635370254516605
1,25,1,19,0.010618283,1.6433613300323486,0.0371966113969691,0.2,1600,-0.004726409912109375,0.07599999830126762,3.5252331018447878,0.0003,-5.880736398696899
2,50,2,17,0.024525074,0.6580366492271423,-0.04958137354068413,0.2,1610,0.02209872007369995,0.13599999547004699,1.5017936468124389,0.0003,-6.218289375305176
3,75,4,17,0.012349636,0.7740039825439453,-0.03511761356983332,0.2,1620,0.054651737213134766,0.04799999892711639,1.8457674860954285,0.0003,-5.009930801391602
4,100,5,16,0.026869537,0.17167982459068298,-0.04579544471763057,0.2,1630,0.07188111543655396,0.13999999538064004,0.5149127751588821,0.0003,-5.255631828308106
5,125,7,16,0.008433539,1.2557913064956665,-0.01947976090619328,0.2,1640,-0.03529858589172363,0.03999999910593033,2.8384979724884034,0.0003,-5.345249366760254
6,150,9,16,0.011027243,0.23717105388641357,-0.04222133764252049,0.2,1650,0.0754435658454895,0.03999999836087227,0.6811097681522369,0.0003,-4.815235996246338
7,175,10,16,0.047981318,0.09660587459802628,-0.057501892304047966,0.2,1660,0.011752903461456299,0.22399999126791953,0.4482828825712204,0.0003,-4.433515357971191
8,200,12,15,0.013789796,1.6618794202804565,-0.028518579849041714,0.2,1670,0.0025472044944763184,0.05999999865889549,3.7432955741882323,0.0003,-5.406348180770874
9,225,14,15,0.020017859,1.1944419145584106,-0.04959568905457843,0.2,1680,-0.01081085205078125,0.13199999630451204,2.579623556137085,0.0003,-5.119844961166382
10,250,16,15,0.0067543983,0.5196387767791748,-0.027782614869065015,0.2,1690,0.04322946071624756,0.023999999463558196,1.3414438486099243,0.0003,-5.201592826843262
1,25,1,17,0.00801837,0.35266193747520447,-0.03087618994526551,0.2,1700,-0.007650256156921387,0.023999999463558196,0.9991978168487549,0.0003,-5.653180980682373
2,50,2,17,0.012093601,0.9783735871315002,-0.03567875824309894,0.2,1710,0.04826486110687256,0.05599999949336052,2.453122448921204,0.0003,-5.087675333023071
3,75,4,17,0.01593692,2.2715322971343994,-0.03621105724573113,0.2,1720,-0.0566098690032959,0.06799999848008156,5.164336729049682,0.0003,-4.739536380767822
