,assets,cash,equity
0,0,1.1025,1.1025
1,80,-16062.697500000002,-2.6975000000020373
2,66,-13255.397500000003,-32.2975000000024
3,6,-1243.3975000000028,-40.69750000000295
4,-1,160.80249999999717,-39.64750000000282
5,-24,4767.702499999998,-35.897500000001855
6,-2,367.7024999999976,-32.49750000000239
7,-2,367.7024999999976,-32.69750000000238
8,-2,367.7024999999976,-32.597500000002356
9,-69,13775.302499999998,-21.24750000000131
10,-69,13775.302499999998,-21.24750000000131
11,-69,13775.302499999998,-21.24750000000131
12,-100,19965.202499999985,0.202499999988504
13,-100,19965.202499999985,5.202499999984866
14,-100,19965.202499999985,50.202499999988504
15,-60,11997.202499999985,51.202499999984866
16,0,42.40249999998548,42.40249999998548
17,-6,1243.0024999999855,45.10249999998564
18,16,-3155.4975000000145,59.70249999998532
19,-31,6291.502499999986,62.05249999998614
20,-74,14921.802499999987,84.80249999998705
21,-100,20140.002499999984,70.00249999998414
22,-100,20140.002499999984,65.00249999998414
23,-96,19338.002499999984,3.602499999982683
24,-100,20144.002499999984,-50.99750000001586
25,-100,20144.002499999984,-85.99750000001586
26,-100,20144.002499999984,-70.99750000001586
27,-100,20144.002499999984,-160.99750000001586
28,-100,20144.002499999984,-155.99750000001586
29,-100,20144.002499999984,-200.99750000001586
30,-100,20144.002499999984,-190.9975000000195
31,-90,18110.00249999998,-191.4975000000195
32,-100,20142.00249999998,-202.9975000000195
33,-100,20142.00249999998,-172.9975000000195
34,-93,18721.702499999978,-152.64750000002095
35,-100,20141.702499999974,-163.29750000002605
36,-100,20141.702499999974,-253.29750000002605
37,-95,19124.702499999974,-245.7975000000224
38,-95,19124.702499999974,-298.04750000002605
39,-98,19738.502499999977,-366.19750000002387
40,-98,19738.502499999977,-351.49750000002314
41,-98,19738.502499999977,-326.99750000002314
42,-98,19739.60249999998,-394.4975000000195
43,-98,19739.60249999998,-394.4975000000195
44,-84,16861.202499999978,-425.99750000002314
45,-84,16861.202499999978,-413.3975000000246
46,-90,18094.202499999978,-378.2975000000224
47,-90,18094.202499999978,-396.2975000000224
48,-95,19122.202499999978,-400.2975000000224
49,-100,20149.702499999978,-365.2975000000224
50,-100,20149.702499999978,-390.2975000000188
51,-100,20149.702499999978,-295.2975000000224
52,-100,20149.702499999978,-285.29750000002605
53,-100,20149.702499999978,-285.29750000002605
54,-100,20149.702499999978,-280.2975000000224
55,-100,20149.702499999978,-285.29750000002605
56,-90,18103.702499999978,-265.2975000000224
57,-100,20150.70249999998,-279.2975000000188
58,-90,18104.602499999983,-322.8975000000173
59,-80,16059.602499999983,-280.3975000000173
60,-100,20155.60249999998,-269.39750000002095
61,-100,20155.60249999998,-279.3975000000246
62,-100,20155.60249999998,-274.39750000002095
63,-100,20155.60249999998,-269.39750000002095
64,-30,5835.9024999999765,-317.0975000000244
65,-10,1745.9024999999765,-301.0975000000235
66,8,-1917.0975000000235,-279.4975000000236
67,8,-1917.0975000000235,-281.89750000002346
68,7,-1708.197500000024,-278.4475000000241
69,23,-4964.197500000024,-280.24750000002405
70,23,-4964.197500000024,-284.8475000000244
71,-17,3171.802499999976,-291.0975000000235
72,-78,15588.002499999977,-265.49750000002314
73,-28,5423.002499999977,-267.99750000002314
74,-28,5423.002499999977,-263.7975000000233
75,-88,17595.502499999977,-264.0975000000217
76,-88,17595.502499999977,-255.29750000002605
