time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss
50,2,22,2,0.18106548488140106,-0.07953383550792914,0.057004128,0.0003,0.2,-0.0430678129196167,1210,0.267999991774559,-0.05770987272262573,-6.4376317977905275
75,3,20,3,0.39625076949596405,-0.04358379148494009,0.034100927,0.0003,0.2,0.002431035041809082,1220,0.14799999296665192,0.09151281416416168,-5.139372158050537
100,4,19,5,0.5179848879575729,-0.04243470259942157,0.025951765,0.0003,0.2,-0.03190124034881592,1230,0.10399999767541886,0.16120752692222595,-5.363123607635498
125,5,18,6,0.19925330579280853,-0.07062384518235909,0.06571429,0.0003,0.2,-0.06428909301757812,1240,0.2639999896287918,-0.02040351927280426,-5.432463645935059
150,6,17,8,1.2494174599647523,-0.03254378300718965,0.023429573,0.0003,0.2,-0.04500162601470947,1250,0.17999999448657036,0.4759984016418457,-4.7482380867004395
175,7,17,10,0.3774614602327347,-0.0668566174339503,0.039022435,0.0003,0.2,-0.05092620849609375,1260,0.1799999915063381,0.06428724527359009,-6.3489234924316404
200,8,16,11,0.1142949789762497,-0.06807520443573481,0.04712179,0.0003,0.2,-0.917739748954773,1270,0.2519999898970127,-0.05717345327138901,-5.078808307647705
225,9,16,13,1.2346554160118104,-0.03520461294800157,0.013395872,0.0003,0.2,0.046289801597595215,1280,0.06799999698996544,0.45798176527023315,-5.103263187408447
250,10,16,15,1.5379526138305664,-0.04415944424085296,0.016974851,0.0003,0.2,-0.15369200706481934,1290,0.08399999812245369,0.6762712597846985,-5.637839078903198
25,1,24,1,0.16405435651540756,-0.07536954007670289,0.052544758,0.0003,0.2,-0.07806622982025146,1300,0.23599999025464058,-0.04530102759599686,-5.060163831710815
50,2,21,2,0.8488416612148285,-0.03358852974418554,0.014227123,0.0003,0.2,-0.09048247337341309,1310,0.08399999812245369,0.3053561747074127,-6.028132343292237
75,3,20,3,26.43228645324707,-0.02197869794163836,0.004555049,0.0003,0.2,-0.0034903287887573242,1320,0.007999999821186066,12.748990058898926,-5.053409194946289
100,4,19,5,0.29863502979278567,-0.09118972486630099,0.083202414,0.0003,0.2,-0.13307499885559082,1330,0.3079999931156635,-0.00730016827583313,-5.114629316329956
125,5,19,6,0.657028216123581,-0.07268911575153467,0.0938875,0.0003,0.2,-0.06368494033813477,1340,0.32799999639391897,0.20528769493103027,-6.051759719848633
150,6,19,7,1.0799279272556306,-0.02720707770250712,0.033554535,0.0003,0.2,-0.10756194591522217,1350,0.22399999648332597,0.4513428509235382,-5.49914231300354
175,7,18,9,0.15881348699331282,-0.07179486260004335,0.04715736,0.0003,0.2,-0.7863954305648804,1360,0.21999999210238458,-0.07088619470596313,-5.5549756526947025
200,8,18,11,0.8106868505477905,-0.05407834596186874,0.02983018,0.0003,0.2,-0.17025649547576904,1370,0.1639999955892563,0.2084580957889557,-5.556446981430054
225,9,17,12,1.7742992877960204,-0.062460512664168986,0.023394154,0.0003,0.2,0.011821866035461426,1380,0.13599999919533728,0.7657256722450256,-5.745312690734863
250,10,17,14,0.9429397881031036,-0.03852749400958402,0.017642511,0.0003,0.2,-0.02098989486694336,1390,0.08799999803304673,0.3583870232105255,-5.5548206806182865
25,1,24,1,0.24565666317939758,-0.05839130877517178,0.06163619,0.0003,0.2,0.09314143657684326,1400,0.22799999341368676,0.017916709184646606,-5.373059558868408
50,2,22,2,0.6914591610431671,-0.07937369414791462,0.054659832,0.0003,0.2,-0.013623476028442383,1410,0.27999999299645423,0.19063259661197662,-5.5474629402160645
75,3,21,3,0.461076220870018,-0.07307532168924809,0.0536241,0.0003,0.2,0.08312255144119263,1420,0.28799998834729196,0.10093016177415848,-5.423893165588379
100,4,20,4,0.20228379517793654,-0.0663670738860965,0.05808831,0.0003,0.2,0.05811983346939087,1430,0.24399999156594276,-0.03401464968919754,-4.87165937423706
125,5,19,6,1.3687591552734375,-0.016162963903742167,0.02501127,0.0003,0.2,-0.49421679973602295,1440,0.13599999696016313,0.5984188914299011,-4.53625168800354
150,6,19,7,0.6757657766342163,-0.05698744238913065,0.027069902,0.0003,0.2,0.03508305549621582,1450,0.15999999567866324,0.21873953938484192,-5.6675924301147464
175,7,18,9,2.6321988105773926,-0.048797606220468734,0.029078325,0.0003,0.2,-0.024184346199035645,1460,0.11199999824166298,1.175475001335144,-5.239102363586426
200,8,17,11,0.47060287892818453,-0.034876641117502064,0.017004985,0.0003,0.2,-0.08352696895599365,1470,0.09999999850988388,0.080109603703022,-5.932389783859253
225,9,17,12,1.1107537508010865,-0.04682822630181906,0.035549365,0.0003,0.2,0.06974101066589355,1480,0.1319999948143959,0.4693317413330078,-4.912640047073364
250,10,16,14,6.24581356048584,-0.01645607018098234,0.0038150477,0.0003,0.2,0.07128071784973145,1490,0.003999999910593033,2.9673871994018555,-4.1418825626373295
25,1,21,1,0.6184503346681595,-0.024564596098847778,0.0049791834,0.0003,0.2,-0.3284085988998413,1500,0.011999999731779098,0.14567427337169647,-4.555512189865112
50,2,19,2,0.23908944427967072,-0.059303179854527245,0.030058235,0.0003,0.2,0.09489762783050537,1510,0.12399999573826789,0.00442291796207428,-5.512617874145508
75,3,19,3,0.3478611558675766,-0.04327823692467092,0.028247919,0.0003,0.2,0.23117166757583618,1520,0.14399999380111694,0.06532270461320877,-4.341400289535523
100,4,19,5,0.27165846824645995,-0.0738624965129425,0.037706517,0.0003,0.2,-0.1372164487838745,1530,0.19199999421834946,-0.019304275512695312,-4.87194938659668
125,5,18,6,0.1060621753334999,-0.07259559025615517,0.066632286,0.0003,0.2,-0.6557122468948364,1540,0.3039999909698963,-0.08410077542066574,-4.838644790649414
150,6,18,8,0.13288090154528617,-0.06731082789599867,0.059271764,0.0003,0.2,0.018999576568603516,1550,0.32399998754262926,-0.036500681191682816,-5.174266004562378
175,7,18,9,0.20936499685049056,-0.063263615526259,0.04995368,0.0003,0.2,0.10094696283340454,1560,0.2279999941587448,-0.014003515243530273,-4.853571081161499
200,8,17,11,0.3136729091405869,-0.059603558197617444,0.0414718,0.0003,0.2,0.10015881061553955,1570,0.21599998995661734,0.04045221954584122,-4.9218545913696286
225,9,16,13,5.0974870204925535,-0.020586643778486114,0.008996245,0.0003,0.2,-0.040870070457458496,1580,0.015999999642372132,2.4434969425201416,-5.327914381027222
250,10,16,15,0.5897684544324875,-0.02478011086210614,0.0065841554,0.0003,0.2,0.14733552932739258,1590,0.015999999642372132,0.17910176515579224,-4.508592700958252
25,1,22,1,4.528079557418823,-0.03514517362788183,0.01909893,0.0003,0.2,-0.10299742221832275,1600,0.07599999830126762,2.1751821041107178,-5.7919751644134525
50,2,20,2,2.9398911952972413,-0.027521133831237422,0.009915066,0.0003,0.2,0.009908497333526611,1610,0.04799999892711639,1.362369179725647,-5.524173212051392
75,3,19,3,6.709117841720581,-0.0161031856220216,0.0023764896,0.0003,0.2,-0.015485167503356934,1620,0.0,3.0920660495758057,-4.253494453430176
100,4,19,5,1.2003507614135742,-0.06559319624677258,0.053375483,0.0003,0.2,0.03365558385848999,1630,0.22399999424815178,0.4888242185115814,-5.028207540512085
125,5,18,6,0.851103937625885,-0.03994473080337002,0.016047161,0.0003,0.2,-0.3829002380371094,1640,0.09999999776482582,0.31074973940849304,-4.833714246749878
150,6,17,8,0.8752586901187897,-0.05059441766887929,0.036300767,0.0003,0.2,0.11989939212799072,1650,0.24399999305605888,0.356087327003479,-4.408130359649658
175,7,17,10,6.317223405838012,-0.022705376356840112,0.007135513,0.0003,0.2,-0.0485304594039917,1660,0.03999999910593033,3.0291025638580322,-4.79778413772583
200,8,16,11,1.0477865159511566,-0.029564467184245304,0.007029252,0.0003,0.2,0.10928845405578613,1670,0.023999999463558196,0.3673153519630432,-4.9904481887817385
225,9,16,13,1.2687578082084656,-0.021094787152483717,0.0055578896,0.0003,0.2,-0.014618158340454102,1680,0.007999999821186066,0.45880866050720215,-5.447409343719483
250,10,16,15,1.3041220426559448,-0.01627173334127292,0.0037664436,0.0003,0.2,-0.0859307050704956,1690,0.015999999642372132,0.4748886525630951,-4.9421875953674315
25,1,22,1,0.1100818857550621,-0.061659572940320116,0.03409354,0.0003,0.2,-1.4092109203338623,1700,0.16399999484419822,-0.08399736881256104,-4.650617504119873
50,2,21,2,25.612450218200685,-0.0075337754250504926,0.012915697,0.0003,0.2,-0.0644146203994751,1710,0.05199999883770943,12.20073413848877,-4.599641418457031
