time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/n_updates
100,5,19,4,0.0,8.965015e-05,59.64944496154785,26.535293579101562,0.0003,-5.845010280609131,0.2,-9.35528736114502,-0.0029387055079567403,430
125,6,19,5,0.0,0.0004426241,24.32691307067871,11.88784122467041,0.0003,0.014262855052947998,0.2,-9.25506362915039,-0.00846152190328553,440
150,7,19,6,0.39599999189376833,0.11477859,5.654501724243164,2.636188268661499,0.0003,-0.03436625003814697,0.2,-9.230497074127197,-0.10249890699237589,450
175,9,19,7,0.007999999821186066,0.004972732,5.666949844360351,2.1672980785369873,0.0003,-2.139803647994995,0.2,-9.312590980529786,0.0031841147978553864,460
200,10,18,8,0.0,0.003932149,19.677775382995605,9.318172454833984,0.0003,-1.4735636711120605,0.2,-9.068912696838378,-0.025235075070523295,470
225,12,18,9,0.04799999892711639,0.013578596,4.258072996139527,1.6628261804580688,0.0003,-0.010413050651550293,0.2,-9.055867004394532,-0.045982491541653306,480
250,13,18,10,0.0,0.0027446675,13.370458602905273,6.189318656921387,0.0003,-1.162705898284912,0.2,-9.378369045257568,-0.014263248083182134,490
25,0,26,1,0.09999999925494193,0.022537924,3.6930405378341673,1.3850058317184448,0.0003,-1.0043988227844238,0.2,-9.12926721572876,-0.06043444431387002,500
50,2,24,2,0.05599999874830246,0.009677527,19.751665306091308,9.070596694946289,0.0003,0.342335045337677,0.2,-9.302338218688964,-0.02909044723864653,510
75,3,23,3,0.0,0.0018874382,28.90208492279053,13.318208694458008,0.0003,-0.14177310466766357,0.2,-9.196973991394042,-0.01250335111044123,520
100,4,22,4,0.011999999731779098,0.0061284495,23.74020709991455,10.765179634094238,0.0003,-0.13816869258880615,0.2,-9.311728858947754,-0.023197926140390023,530
125,5,21,5,0.06399999782443047,0.014531808,0.9773250341415405,0.3584863543510437,0.0003,-6.236735820770264,0.2,-9.388058185577393,-0.036972791401669446,540
150,7,20,6,0.003999999910593033,0.0051988885,8.686369895935059,3.4147660732269287,0.0003,-4.967832565307617,0.2,-9.111028671264648,-0.02937887179851515,550
175,8,19,7,0.4239999935030937,0.10847528,1.4545241236686706,0.4797806143760681,0.0003,-0.6397997140884399,0.2,-9.400533103942871,-0.10601819711178528,560
200,10,19,8,0.04799999892711639,0.00917623,28.6572473526001,13.032432556152344,0.0003,-0.2698863744735718,0.2,-9.300684452056885,-0.0072511284849611,570
225,12,17,9,0.019999999552965164,0.006337771,40.76156578063965,19.131996154785156,0.0003,-0.06645870208740234,0.2,-9.343625736236572,-0.03316022334527222,580
250,15,16,10,0.0,0.0018192625,38.179856872558595,17.564632415771484,0.0003,-0.11079132556915283,0.2,-9.217282390594482,-0.01127516248542797,590
25,1,23,1,0.0,0.0010120057,82.05926513671875,39.380226135253906,0.0003,-0.021018028259277344,0.2,-9.305731868743896,-0.012662346227793364,600
50,2,21,2,0.0,0.001100986,92.53538284301757,44.5987434387207,0.0003,-0.10748529434204102,0.2,-9.467120456695557,-0.011437039793963776,610
75,3,20,3,0.0,0.0020187688,30.748052978515624,14.22734546661377,0.0003,-0.0018562078475952148,0.2,-9.414188385009766,-0.016107027531601405,620
100,5,17,4,0.0,0.0026238488,45.07729873657227,20.743785858154297,0.0003,-0.0177609920501709,0.2,-9.360781192779541,-0.020157914574258484,630
125,8,15,5,0.003999999910593033,0.0021109937,35.62882652282715,16.525230407714844,0.0003,-0.01451730728149414,0.2,-9.32476863861084,-0.017216978285460982,640
150,10,14,6,0.007999999821186066,0.0024288988,31.10259265899658,14.545905113220215,0.0003,-0.058026909828186035,0.2,-9.380675125122071,-0.019091889427974705,650
175,11,14,7,0.09599999859929084,0.020442694,9.345560073852539,4.14405632019043,0.0003,-0.11805641651153564,0.2,-9.433396816253662,-0.06008333655819342,660
200,13,14,8,0.03999999910593033,0.008363097,12.446579456329346,5.433413982391357,0.0003,0.37188631296157837,0.2,-9.447782135009765,-0.0037855853149373784,670
225,17,13,9,0.0,0.0025611543,11.51074275970459,4.917459011077881,0.0003,-0.06400001049041748,0.2,-9.292309093475343,-0.017165808199963807,680
250,19,12,10,0.003999999910593033,0.0051559065,38.56631698608398,18.278093338012695,0.0003,0.08381390571594238,0.2,-9.34093713760376,-0.020627936295232983,690
25,1,20,1,0.0,0.0025539803,58.32016716003418,26.600990295410156,0.0003,-0.14245474338531494,0.2,-9.37569580078125,-0.004874878754373669,700
50,3,16,2,0.0559999980032444,0.016532501,17.334997367858886,8.104393005371094,0.0003,0.02380460500717163,0.2,-9.267469596862792,-0.05073453529365359,710
75,5,14,3,0.5039999879896641,0.10644943,0.3926037818193436,-0.032149553298950195,0.0003,-0.2596503496170044,0.2,-9.210721969604492,-0.11000227835774438,720
100,6,14,4,0.08799999579787254,0.0150201,53.00610618591308,25.235754013061523,0.0003,-0.02732086181640625,0.2,-8.723457622528077,-0.0003969458495266309,730
125,8,14,5,0.047999998182058336,0.011763622,13.571194744110107,6.0532073974609375,0.0003,-0.21300697326660156,0.2,-8.925251579284668,-0.04206337624974523,740
150,10,13,6,0.1199999950826168,0.022069031,16.172036266326906,7.573657035827637,0.0003,0.06987899541854858,0.2,-8.948336315155029,-0.06203965213708571,750
175,12,13,7,0.4519999772310257,0.121940956,0.10621435046195984,-0.09803323447704315,0.0003,-1.7436268329620361,0.2,-9.398982334136964,-0.10680432058125718,760
200,15,13,8,0.03999999910593033,0.010022113,14.609414196014404,6.982861518859863,0.0003,0.14249712228775024,0.2,-9.11842155456543,-0.01396073904243451,770
225,17,12,9,0.0,0.0031832813,13.804625034332275,6.16982364654541,0.0003,-0.6621756553649902,0.2,-9.270485019683838,-0.014217789827759475,780
250,20,12,10,0.015999999642372132,0.0070212744,9.132916164398193,4.202461242675781,0.0003,0.02607870101928711,0.2,-8.701691150665283,-0.032000990347936666,790
25,1,17,1,0.10399999767541886,0.02093892,1.0243166983127594,0.2680312395095825,0.0003,-0.10383903980255127,0.2,-9.318097496032715,-0.05058033757843248,800
50,3,16,2,0.015999999642372132,0.0066753146,45.48825263977051,21.68584632873535,0.0003,0.04767042398452759,0.2,-9.516180801391602,-0.020227351482026278,810
75,4,16,3,0.15599999576807022,0.03327436,1.7851718425750733,0.5893958210945129,0.0003,-0.0802314281463623,0.2,-8.970933818817139,-0.06976967880688534,820
100,6,16,4,0.35199999138712884,0.07444125,1.353940761089325,0.5167266130447388,0.0003,0.08024442195892334,0.2,-9.17810878753662,-0.09843771456927045,830
125,7,16,5,0.09599999859929084,0.014462309,20.426173973083497,9.642653465270996,0.0003,-0.2569833993911743,0.2,-8.240048027038574,-0.027776304649189853,840
150,9,15,6,0.0,0.0019551348,89.83097686767579,44.172977447509766,0.0003,0.03381609916687012,0.2,-8.741353797912598,-0.01556930635403848,850
175,11,15,7,0.0,0.0037910556,24.70171184539795,11.657414436340332,0.0003,-0.10044729709625244,0.2,-9.032655239105225,-0.025955470684915837,860
200,13,15,8,0.0,0.0012492347,35.39368095397949,16.880537033081055,0.0003,0.003957211971282959,0.2,-8.973353862762451,-0.002606760316412249,870
225,15,14,9,0.17199999541044236,0.030427856,1.4588685035705566,0.4830726981163025,0.0003,-0.03619349002838135,0.2,-9.245880889892579,-0.07164468771219257,880
250,17,14,10,0.023999999463558196,0.006191978,21.718853187561034,10.16682243347168,0.0003,-0.022826433181762695,0.2,-8.258125686645508,0.008093907630070873,890
25,0,26,1,0.35199998393654824,0.071438715,3.612519359588623,1.5869187116622925,0.0003,0.056175053119659424,0.2,-9.020845317840577,-0.10287961088120881,900
50,2,24,2,0.17599999532103539,0.031984925,12.414381504058838,5.675307750701904,0.0003,-0.023040294647216797,0.2,-8.429825115203858,-0.06334108424186695,910
75,3,21,3,0.12799999564886094,0.028074471,5.078716468811035,2.264390468597412,0.0003,0.012199699878692627,0.2,-8.808529281616211,-0.05126933576725427,920
100,5,19,4,0.1519999958574772,0.025331477,7.664972305297852,3.430307626724243,0.0003,0.028570115566253662,0.2,-8.949657344818116,-0.03736937836278287,930
125,7,16,5,0.39199998825788496,0.09176748,1.4225837588310242,0.5261898636817932,0.0003,0.07966077327728271,0.2,-8.993125057220459,-0.09074818280339247,940
150,9,15,6,0.0559999980032444,0.010598235,32.375205993652344,15.439108848571777,0.0003,0.002475917339324951,0.2,-9.130513858795165,-0.0006851193059700833,950
175,11,15,7,0.023999999463558196,0.0077106305,11.621235656738282,5.346881866455078,0.0003,0.08707648515701294,0.2,-8.938968563079834,-0.03160266908258187,960
200,13,15,8,0.003999999910593033,0.0032822345,11.552528381347656,5.06901741027832,0.0003,-0.4425569772720337,0.2,-8.669243621826173,-0.011375672884285492,970
225,15,14,9,0.15999999567866324,0.033912547,0.7712786555290222,0.19621092081069946,0.0003,0.11813819408416748,0.2,-8.760825634002686,-0.06336266203224668,980
250,16,14,10,0.15599999353289604,0.03089575,4.253564023971558,1.8966453075408936,0.0003,0.05821633338928223,0.2,-8.80032787322998,-0.04240690087713332,990
25,0,26,1,0.003999999910593033,0.0045281337,18.11587200164795,8.505547523498535,0.0003,0.020863652229309082,0.2,-7.94850721359253,-0.002858219803091799,1000
50,2,23,2,0.18399999365210534,0.036232036,2.152265655994415,0.8147796392440796,0.0003,-0.006558895111083984,0.2,-9.077360343933105,-0.0737715379521248,1010
75,3,21,3,0.41199998557567596,0.10256469,0.10392355024814606,-0.09277498722076416,0.0003,0.23143064975738525,0.2,-8.335597801208497,-0.09765968478471052,1020
100,4,20,4,0.21199999377131462,0.039353084,1.0635732769966126,0.383930504322052,0.0003,-0.11006712913513184,0.2,-8.45407190322876,-0.044224476795643855,1030
125,6,20,5,0.10799999684095382,0.019802343,20.68579807281494,9.81453800201416,0.0003,-0.04988837242126465,0.2,-8.075713300704956,-0.05040863760188188,1040
150,7,19,6,0.22399999275803567,0.048592806,1.82402503490448,0.7578397393226624,0.0003,0.08740818500518799,0.2,-7.905197286605835,-0.07070533279329538,1050
175,9,19,7,0.11199999824166298,0.021891687,1.0332935512065888,0.4230215549468994,0.0003,-0.010767579078674316,0.2,-8.261020851135253,-0.03600537153659502,1060
200,10,18,8,0.33599999397993086,0.08412467,1.4736504316329957,0.5784691572189331,0.0003,-0.01966273784637451,0.2,-8.562947368621826,-0.09715771508216875,1070
225,13,17,9,0.05199999883770943,0.010598304,37.247248840332034,18.116220474243164,0.0003,-0.055699706077575684,0.2,-8.135309314727783,0.016934226095676054,1080
250,15,15,10,0.13599999770522117,0.027531259,0.8489150822162628,0.2862691879272461,0.0003,-0.6147323846817017,0.2,-7.944008493423462,-0.06836231606826182,1090
25,1,20,1,0.2959999941289425,0.061924458,0.22705138176679612,-0.002318359911441803,0.0003,0.07185167074203491,0.2,-7.239769983291626,-0.06095901260152488,1100
50,2,18,2,0.1799999937415123,0.026528455,3.302600073814392,1.4565060138702393,0.0003,0.03546595573425293,0.2,-7.568227624893188,-0.0362883656024934,1110
75,4,17,3,0.043999999016523364,0.0106180785,9.04346866607666,4.119004726409912,0.0003,0.06541794538497925,0.2,-7.201674699783325,-0.03693194724526254,1120
100,5,16,4,0.30799999088048935,0.06307061,0.2663060039281845,-0.010448426008224487,0.0003,0.00941169261932373,0.2,-7.345754766464234,-0.07849102704226958,1130
125,7,16,5,0.299999987334013,0.05620945,2.8049309492111205,1.2496411800384521,0.0003,0.12789714336395264,0.2,-7.147837352752686,-0.07848358127288577,1140
150,9,15,6,0.21199999749660492,0.028974444,3.414402985572815,1.5849368572235107,0.0003,-0.14886975288391113,0.2,-6.868475818634034,-0.03640342166274735,1150
175,11,14,7,0.08399999737739564,0.015778132,3.140925145149231,1.3665637969970703,0.0003,-0.055349111557006836,0.2,-7.828432369232178,-0.04751635392196505,1160
200,13,14,8,0.14799999594688415,0.030159527,1.4403508186340332,0.5946885347366333,0.0003,-0.503547191619873,0.2,-7.073268938064575,-0.06707516093552109,1170
225,15,14,9,0.12399999499320984,0.025210904,2.658032274246216,1.1814686059951782,0.0003,-0.12940573692321777,0.2,-7.142675495147705,-0.051286879241466465,1180
250,17,13,10,0.20799999088048934,0.049356908,0.914752072095871,0.2950207591056824,0.0003,-0.13192474842071533,0.2,-7.036679220199585,-0.07740852285176558,1190
25,1,24,1,0.14799999594688415,0.022824373,3.1558550119400026,1.3639787435531616,0.0003,0.014914751052856445,0.2,-6.680055475234985,-0.02006833296874504,1200
50,2,22,2,0.011999999731779098,0.007561271,11.298885726928711,5.256104469299316,0.0003,0.008821964263916016,0.2,-6.296491050720215,-0.027731118443422,1210
75,3,21,3,0.15999999567866324,0.029582324,3.654408597946167,1.5825088024139404,0.0003,0.0025281906127929688,0.2,-5.932633399963379,-0.04924695996195041,1220
100,4,21,4,0.03999999910593033,0.010755684,4.4854155540466305,1.9272245168685913,0.0003,-0.13247275352478027,0.2,-6.430369281768799,-0.046014904633165085,1230
125,6,20,5,0.18399999514222146,0.040955305,1.0823265373706819,0.36911195516586304,0.0003,0.0002378225326538086,0.2,-6.410682249069214,-0.0708477944117039,1240
150,7,19,6,0.10399999767541886,0.025900658,2.036121737957001,0.920172393321991,0.0003,-0.02559530735015869,0.2,-6.685470485687256,-0.053624023757873826,1250
175,9,19,7,0.05999999940395355,0.014709916,2.285858225822449,0.968049168586731,0.0003,-0.08887326717376709,0.2,-7.041284608840942,-0.03207687247352435,1260
200,10,18,8,0.27999999225139616,0.059103936,0.6104506552219391,0.15733495354652405,0.0003,-0.10243058204650879,0.2,-6.87338662147522,-0.0816137263961135,1270
225,12,17,9,0.243999994546175,0.043811303,0.6916399419307708,0.21511521935462952,0.0003,-0.08510982990264893,0.2,-5.1301017761230465,-0.06743738563358796,1280
250,14,17,10,0.011999999731779098,0.007758064,4.133360815048218,1.9530854225158691,0.0003,-0.05916166305541992,0.2,-5.697221660614014,-0.037589543763548505,1290
25,0,25,1,0.043999999016523364,0.01063251,1.7742664098739624,0.7110931873321533,0.0003,0.0444415807723999,0.2,-5.3727926254272464,-0.033763283499516204,1300
50,2,22,2,0.08399999737739564,0.020872014,1.2365957140922545,0.4250333905220032,0.0003,-0.38662052154541016,0.2,-6.495385837554932,-0.04283946371660576,1310
75,3,20,3,0.1519999958574772,0.03186918,1.3188154458999635,0.45398443937301636,0.0003,0.09159684181213379,0.2,-5.3741292476654055,-0.0513114771526304,1320
100,5,19,4,0.19599999487400055,0.04490161,0.4738495796918869,0.05633990466594696,0.0003,-0.06008458137512207,0.2,-5.402443742752075,-0.07241080195084208,1330
125,6,18,5,0.0559999980032444,0.0126546025,3.100525665283203,1.3333454132080078,0.0003,-0.15865910053253174,0.2,-5.357144117355347,-0.01170863057893996,1340
150,8,18,6,0.05999999716877937,0.012729165,3.120154023170471,1.3080661296844482,0.0003,-0.043659090995788574,0.2,-6.161405944824219,-0.04505720350705076,1350
175,10,17,7,0.05599999874830246,0.011776042,1.5808104515075683,0.5785049200057983,0.0003,-0.2130587100982666,0.2,-6.107702445983887,-0.039639213258399766,1360
200,11,16,8,0.3439999960362911,0.091717824,0.23552884459495543,-0.015629537403583527,0.0003,0.17563074827194214,0.2,-5.630676126480102,-0.08542108274251206,1370
225,13,16,9,0.27199999466538427,0.066653475,0.9247004508972168,0.3442589342594147,0.0003,-0.03650462627410889,0.2,-5.450287103652954,-0.0626738817244771,1380
250,15,16,10,0.2719999931752682,0.077285066,0.42712992131710054,0.10723447054624557,0.0003,-0.15280985832214355,0.2,-5.781591367721558,-0.06655170537531348,1390
25,0,26,1,0.23999999314546586,0.04278529,0.6601822674274445,0.211407870054245,0.0003,-0.21162724494934082,0.2,-4.868206739425659,-0.05699952224455771,1400
50,2,23,2,0.10399999618530273,0.021644762,1.1435841560363769,0.3747122287750244,0.0003,-0.28087687492370605,0.2,-5.312312173843384,-0.05270592790655755,1410
75,3,22,3,0.23999999240040779,0.048571356,0.2915887415409088,0.0008599907159805298,0.0003,-0.19492805004119873,0.2,-5.507726573944092,-0.07324621529504656,1420
100,4,20,4,0.38399999141693114,0.11984899,0.03442507050931454,-0.14315205812454224,0.0003,-0.748201847076416,0.2,-5.144689846038818,-0.09650884559750565,1430
125,6,20,5,0.15599999874830245,0.035058573,1.261703658103943,0.5236656069755554,0.0003,-0.34397780895233154,0.2,-6.006142711639404,-0.015524889368563777,1440
150,7,20,6,0.043999999016523364,0.008780596,2.0585446119308473,0.8711391687393188,0.0003,-0.10168969631195068,0.2,-5.680775356292725,-0.016416144450487023,1450
175,8,19,7,0.05999999865889549,0.014391591,0.8159859836101532,0.26167285442352295,0.0003,-0.14038419723510742,0.2,-4.67376012802124,-0.038232659663073675,1460
200,10,18,8,0.0,0.0027446817,5.388088321685791,2.6635303497314453,0.0003,-0.0978325605392456,0.2,-4.721114253997802,-0.011935087212477668,1470
225,12,18,9,0.08799999803304673,0.02097356,2.06616530418396,0.89338219165802,0.0003,-0.07504534721374512,0.2,-4.764318799972534,-0.050013206498697116,1480
250,14,17,10,0.019999999552965164,0.008169567,2.0906715512275698,0.8641707301139832,0.0003,0.11399054527282715,0.2,-5.220720958709717,-0.030348401749506593,1490
25,0,26,1,0.10799999609589576,0.028364327,0.5120246231555938,0.15486708283424377,0.0003,-0.10053825378417969,0.2,-4.653379106521607,-0.05181713963299987,1500
50,2,23,2,0.07999999821186066,0.016961193,1.069909358024597,0.43195998668670654,0.0003,-0.04389011859893799,0.2,-5.1435822486877445,-0.03801825586147593,1510
75,3,22,3,0.043999999016523364,0.008257086,3.493224930763245,1.529615044593811,0.0003,0.0010333061218261719,0.2,-5.223981761932373,-0.03192392978444687,1520
100,4,21,4,0.1039999969303608,0.02525843,1.9974063873291015,0.7501564621925354,0.0003,0.03413909673690796,0.2,-6.2804117679595945,-0.04242103618010873,1530
125,6,20,5,0.2159999944269657,0.038466442,0.3011709988117218,0.014982745051383972,0.0003,-0.024121403694152832,0.2,-7.3948486328125,-0.05934442077949642,1540
150,7,20,6,0.05599999874830246,0.013036589,6.823133707046509,3.3130943775177,0.0003,0.012578248977661133,0.2,-6.070157718658447,-0.025017225882038474,1550
175,8,19,7,0.2919999897480011,0.05339977,0.2964257687330246,0.03712198883295059,0.0003,-0.04363846778869629,0.2,-5.4536196231842045,-0.06688666221871972,1560
200,10,19,8,0.2239999957382679,0.069121316,0.12266938984394074,-0.042089782655239105,0.0003,0.2566564679145813,0.2,-4.701889133453369,-0.06012854475155507,1570
225,12,18,9,0.23599999397993088,0.046273105,0.42672906517982484,0.06546732783317566,0.0003,0.07659751176834106,0.2,-5.337342023849487,-0.06367221328616139,1580
250,13,17,10,0.05599999725818634,0.012719486,3.232289123535156,1.4295494556427002,0.0003,0.04752165079116821,0.2,-6.483201169967652,-0.033662243517115796,1590
25,1,24,1,0.2799999974668026,0.066560134,0.6254084706306458,0.18845981359481812,0.0003,0.01948004961013794,0.2,-6.373378276824951,-0.07376166117191332,1600
50,2,22,2,0.011999999731779098,0.0051319576,6.980829381942749,3.286726474761963,0.0003,-0.026313304901123047,0.2,-5.6337597370147705,-0.020118262157775745,1610
75,3,21,3,0.09199999719858169,0.02412589,0.4416507512331009,0.0666043609380722,0.0003,-0.045961737632751465,0.2,-6.053269624710083,-0.05215362059697526,1620
100,4,21,4,0.04799999892711639,0.012343873,1.5189730882644654,0.5633332133293152,0.0003,-0.06841063499450684,0.2,-6.457232236862183,-0.0312321475455537,1630
125,6,20,5,0.2279999889433384,0.052324522,0.6088163793087006,0.1559596061706543,0.0003,-0.01485753059387207,0.2,-6.354890775680542,-0.0804034441001713,1640
150,7,19,6,0.08799999728798866,0.02274741,1.7817548274993897,0.7430474758148193,0.0003,0.003694593906402588,0.2,-5.460985612869263,-0.03472868470463482,1650
175,9,19,7,0.14399999529123306,0.025992882,0.6446515440940856,0.20948189496994019,0.0003,-0.1636108160018921,0.2,-4.553827095031738,-0.05393323899805509,1660
200,10,18,8,0.02799999937415123,0.0057164286,0.7548080176115036,0.19211331009864807,0.0003,0.10209673643112183,0.2,-4.190038681030273,-0.018469165684189194,1670
225,12,18,9,0.003999999910593033,0.00352005,3.4262070417404176,1.3488510847091675,0.0003,-0.24128901958465576,0.2,-4.021570110321045,-0.013350518070859607,1680
250,13,17,10,0.13599999397993087,0.022025041,1.2074935793876649,0.4590891897678375,0.0003,-0.49722254276275635,0.2,-6.020673847198486,-0.035206051708199126,1690
25,0,27,1,0.1759999930858612,0.029791854,0.6214207172393799,0.09988576173782349,0.0003,-4.831655025482178,0.2,-6.0119593143463135,-0.06760054887831224,1700
50,2,22,2,0.07599999755620956,0.017807491,1.6849774241447448,0.7261443138122559,0.0003,-0.19848096370697021,0.2,-5.024348878860474,-0.03260193108161928,1710
75,3,22,3,0.019999999552965164,0.0044399714,50.59007606506348,24.355030059814453,0.0003,-0.10620260238647461,0.2,-4.144305801391601,-0.004298380838940829,1720
