time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates
10,250,12,20,-9.143165493011475,0.2,0.05231435,0.2719999931752682,0.2922123074531555,0.9920238435268403,-0.004668474197387695,0.0003,-0.08185100455209664,1190
1,25,0,28,-8.980134010314941,0.2,0.13802576,0.43199999034404757,0.002338305115699768,0.3540134638547897,0.013836085796356201,0.0003,-0.08425829422473896,1200
2,50,1,26,-8.83996410369873,0.2,0.021180052,0.10399999767541886,2.9490339756011963,6.477832984924317,-0.007122039794921875,0.0003,-0.03789692211197604,1210
3,75,2,25,-8.801724529266357,0.2,0.0069055078,0.019999999552965164,8.162282943725586,17.264401817321776,-0.0030744075775146484,0.0003,-0.021895433738826853,1220
4,100,4,24,-8.866443634033203,0.2,0.037013613,0.19199999794363976,0.2859249413013458,0.8369437277317047,0.007399082183837891,0.0003,-0.0771107992101463,1230
5,125,5,23,-8.787013721466064,0.2,0.025730586,0.12399999499320984,1.30357825756073,3.0250080108642576,0.004298031330108643,0.0003,-0.055427728246897345,1240
6,150,6,22,-8.863573455810547,0.2,0.038172696,0.18399999663233757,1.7856733798980713,3.819715428352356,0.006922304630279541,0.0003,-0.06890252235531805,1250
7,175,8,21,-8.81494426727295,0.2,0.07354971,0.3079999953508377,0.005419701337814331,0.35507006347179415,-0.00046575069427490234,0.0003,-0.09165215319395088,1260
8,200,9,21,-8.675738430023193,0.2,0.07333315,0.3399999961256981,0.2976146936416626,1.008089143037796,-0.004517793655395508,0.0003,-0.09682579999789595,1270
9,225,10,20,-8.541717720031738,0.2,0.06629556,0.3239999905228615,0.1577933132648468,0.6986703634262085,0.006630063056945801,0.0003,-0.08955556629598149,1280
10,250,12,20,-8.449960613250733,0.2,0.04250598,0.22799999192357062,0.45933008193969727,1.1907439351081848,0.024866580963134766,0.0003,-0.08004977325350034,1290
1,25,0,29,-8.652582168579102,0.2,0.024083974,0.13599999770522117,0.9434597492218018,2.2530065298080446,0.0021289587020874023,0.0003,-0.05890902346000075,1300
2,50,1,26,-8.694350051879884,0.2,0.03734594,0.21199999377131462,0.1432967633008957,0.6438108682632446,-0.018541336059570312,0.0003,-0.06421874153986665,1310
3,75,3,24,-8.857591915130616,0.2,0.0227913,0.16799999549984931,3.8872129917144775,7.913255596160889,-0.007021188735961914,0.0003,-0.03657922958582631,1320
4,100,4,24,-8.434778499603272,0.2,0.06073686,0.26399999037384986,0.03877557814121246,0.42526821196079256,0.008708477020263672,0.0003,-0.08747813761979337,1330
5,125,5,23,-8.420696926116943,0.2,0.037707604,0.19199999645352364,1.0410064458847046,2.5596290826797485,-0.0064966678619384766,0.0003,-0.07718852146714923,1340
6,150,6,22,-8.4556378364563,0.2,0.040530406,0.2319999910891056,0.4397520422935486,1.1657382726669312,-0.018485307693481445,0.0003,-0.07328553507663287,1350
7,175,8,21,-8.516492462158203,0.2,0.041744113,0.1719999946653843,0.5430949926376343,1.4571768164634704,-0.005800366401672363,0.0003,-0.062483996223657814,1360
8,200,9,21,-8.227498149871826,0.2,0.0121366065,0.051999998092651364,4.327535152435303,8.886190700531007,0.0028577446937561035,0.0003,-0.041160606651566664,1370
9,225,10,20,-8.508384513854981,0.2,0.21268004,0.48799998462200167,0.46853888034820557,1.2993358731269837,0.00019562244415283203,0.0003,-0.12577141618728688,1380
10,250,12,20,-8.300627040863038,0.2,0.015317101,0.06799999698996544,1.3842556476593018,2.90427143573761,0.007004737854003906,0.0003,-0.014756120365578695,1390
1,25,1,24,-8.423430919647217,0.2,0.017548637,0.05999999865889549,0.862047553062439,2.1540991067886353,-0.0023065805435180664,0.0003,-0.04797110524552295,1400
2,50,2,23,-7.824802494049072,0.2,0.03577373,0.19599999263882636,1.4426735639572144,3.175421357154846,-0.009726524353027344,0.0003,-0.07391364001110183,1410
3,75,3,22,-7.521785068511963,0.2,0.029762587,0.17599999532103539,0.4202319383621216,1.1071785807609558,-0.007854819297790527,0.0003,-0.0524416736643758,1420
4,100,4,22,-7.608132934570312,0.2,0.006010165,0.011999999731779098,13.622440338134766,28.071518325805663,-0.0008338689804077148,0.0003,-0.031668398853391365,1430
5,125,5,21,-7.753252363204956,0.2,0.04428385,0.21599999368190764,1.5985546112060547,3.508435583114624,-0.005254387855529785,0.0003,-0.0843672724664211,1440
6,150,7,20,-7.541583108901977,0.2,0.01579668,0.07599999904632568,0.7092601656913757,1.7275009751319885,-0.01260387897491455,0.0003,-0.0402070623007603,1450
7,175,8,20,-7.299535274505615,0.2,0.118946515,0.41199998185038567,0.407484233379364,1.0997024774551392,0.0001391768455505371,0.0003,-0.09671585322916484,1460
8,200,9,20,-7.522238111495971,0.2,0.05216085,0.267999991774559,0.05654408037662506,0.43319225013256074,0.0036445260047912598,0.0003,-0.0776064321100712,1470
9,225,11,19,-7.5617938995361325,0.2,0.095252715,0.3119999922811985,0.2657785415649414,0.8471432268619538,0.0071863532066345215,0.0003,-0.09090480536594985,1480
10,250,12,19,-7.465108346939087,0.2,0.030446555,0.1719999961555004,0.34420740604400635,1.0127374529838562,-0.01541602611541748,0.0003,-0.04686425856873342,1490
1,25,0,25,-7.2424163818359375,0.2,0.023893435,0.11199999675154686,0.5340747237205505,1.278778064250946,0.006427943706512451,0.0003,-0.04780254513211588,1500
2,50,2,24,-7.961964511871338,0.2,0.009966297,0.031999999284744264,2.102557897567749,4.514202117919922,-0.013908982276916504,0.0003,-0.04416252750530845,1510
3,75,3,23,-7.385337924957275,0.2,0.11400955,0.4199999883770943,0.11765725910663605,0.5467148125171661,-0.009596824645996094,0.0003,-0.1033326076716179,1520
4,100,4,22,-7.2219854354858395,0.2,0.05689783,0.23199999704957008,0.08608447015285492,0.46317664384841917,-0.0229872465133667,0.0003,-0.07677446862310174,1530
5,125,5,22,-7.06018443107605,0.2,0.03712647,0.19599999561905862,0.206451877951622,0.6650303840637207,0.005822956562042236,0.0003,-0.06832001122459772,1540
6,150,6,21,-6.917310094833374,0.2,0.034848787,0.14399999678134917,0.22686554491519928,0.7634162366390228,-0.004255771636962891,0.0003,-0.06441380368545638,1550
7,175,8,21,-6.185386228561401,0.2,0.023111323,0.12399999573826789,0.4597824811935425,1.2696833491325379,0.012677490711212158,0.0003,-0.04907708526402708,1560
8,200,9,20,-7.1620495319366455,0.2,0.008905229,0.03999999910593033,3.843690872192383,7.7806871891021725,-0.0026841163635253906,0.0003,-0.01947971706092346,1570
9,225,10,20,-6.555722379684449,0.2,0.10275134,0.33199999406933783,0.08996151387691498,0.5281160771846771,-0.022107481956481934,0.0003,-0.09803944499045611,1580
10,250,12,20,-6.691943979263305,0.2,0.023853831,0.1279999978840351,0.5996032357215881,1.5666698575019837,0.003510594367980957,0.0003,-0.05362784159556071,1590
1,25,0,28,-6.62026572227478,0.2,0.010406487,0.03599999919533729,3.4621152877807617,7.0738232135772705,-0.0001876354217529297,0.0003,-0.032443709738552685,1600
2,50,2,24,-6.48038330078125,0.2,0.047866993,0.22399999350309371,0.11580143868923187,0.502444738149643,0.004950523376464844,0.0003,-0.07607179863378377,1610
3,75,3,23,-6.248014307022094,0.2,0.013492129,0.07999999597668647,0.47588372230529785,1.1387010931968689,0.006169915199279785,0.0003,-0.02941028525494076,1620
4,100,4,22,-6.816694974899292,0.2,0.014650106,0.06799999922513962,0.685677707195282,1.6339286684989929,-0.003521561622619629,0.0003,-0.04931774357426875,1630
5,125,5,22,-6.1217811584472654,0.2,0.023010032,0.07999999970197677,0.8222876191139221,1.8736127257347106,0.01957637071609497,0.0003,-0.040701238921494284,1640
6,150,6,21,-6.413152027130127,0.2,0.0087124845,0.0439999982714653,1.0259819030761719,2.245250129699707,-0.010669708251953125,0.0003,-0.02847359793563271,1650
7,175,8,21,-6.203890180587768,0.2,0.024917511,0.13199999555945396,0.09524891525506973,0.4531268835067749,-0.028841614723205566,0.0003,-0.05240126540698107,1660
8,200,9,21,-6.516781520843506,0.2,0.011059255,0.035999998450279236,0.6752954125404358,1.7276990056037902,-0.002826690673828125,0.0003,-0.03540768370218572,1670
9,225,10,20,-6.7034831047058105,0.2,0.041693587,0.19199999347329139,0.27420562505722046,0.9551013171672821,-0.009067416191101074,0.0003,-0.06661920464038858,1680
10,250,12,20,-6.023136234283447,0.2,0.038539104,0.1839999958872795,0.18852102756500244,0.7505063414573669,0.006785988807678223,0.0003,-0.058845491440966666,1690
1,25,0,27,-6.91732006072998,0.2,0.0053221965,0.0,1.2464041709899902,2.967388415336609,-0.010925650596618652,0.0003,-0.03227139475662262,1700
2,50,2,24,-7.018440246582031,0.2,0.0089955395,0.023999999463558196,1.8792266845703125,4.336630344390869,0.0019603967666625977,0.0003,-0.04033514734543857,1710
